run,algo,seed,n_links,p,tau,r_u,sigma_omega,gamma,mc_cost_mean,mc_cost_std,jstar_mean,jstar_std,eval_reward_mean,monitor_reward_smoothed
runs/DDPG_n13_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-141518,DDPG,20257,13,0.6,0.05,10.0,0.0001,0.99,717.9829007252771,310.03241583372284,4.727883976120421,1.1005594309562032,-7536.243961105347,-14334.56301555
runs/DDPG_n13_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-153845,DDPG,202511,13,0.8,0.05,10.0,0.0001,0.99,41254.2280168148,3448.746496075898,5.09921104181708,0.9344860208734209,-68218.02981962204,-76548.1810513
runs/DDPG_n13_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-143608,DDPG,20257,13,0.8,0.05,10.0,0.0001,0.99,41517.27564232213,3076.6506861652315,4.727883976120421,1.1005594309562032,-48731.83526368618,-59513.336893800006
runs/DDPG_n7_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-101809,DDPG,202511,7,0.5,0.05,10.0,0.0001,0.99,121.3833306910125,24.429788033009814,2.807922646876432,0.941580273393496,-867.5923679450154,-6216.1548287
runs/DDPG_n7_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-092320,DDPG,20257,7,0.5,0.05,10.0,0.0001,0.99,81.98574127182569,7.687620924441951,2.377894472730307,0.820859388359591,-772.1863602796197,-6179.238660100001
runs/DDPG_n7_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-103619,DDPG,202511,7,0.6,0.05,10.0,0.0001,0.99,146.6821445888652,24.299516837629405,2.807922646876432,0.941580273393496,-1152.5462168798845,-6461.900467900001
runs/DDPG_n7_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-094133,DDPG,20257,7,0.6,0.05,10.0,0.0001,0.99,106.88999818251594,12.763428428856779,2.377894472730307,0.820859388359591,-728.0632207739353,-6417.9604002
runs/DDPG_n7_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-105438,DDPG,202511,7,0.8,0.05,10.0,0.0001,0.99,18520.340877022292,4723.478444160631,2.807922646876432,0.941580273393496,-13197.458290417195,-12512.18734445
runs/DDPG_n7_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-095942,DDPG,20257,7,0.8,0.05,10.0,0.0001,0.99,2327.33770204697,3073.305029197963,2.377894472730307,0.820859388359591,-7698.329705740611,-9390.822071049999
runs/DDPG_n9_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-153054,DDPG,202511,9,0.5,0.05,10.0,0.0001,0.99,655.1431328745475,171.03721993611694,3.5227728615454237,0.9341407003538587,-1560.3828484666346,-8404.14662505
