run,algo,seed,gamma,horizon,K,r_v,r_w,tau,p,normalize,mc_cost_mean,mc_cost_std,jstar_mean,jstar_std,optgap_reward_mean,optgap_cost_mean,regret_mean,eval_reward_mean,monitor_reward_smoothed,tb_Vtrue_count,tb_stage_cost_count
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/A2C_K2_rv1_rw1_p1.0_rho1.005_tau0.1_seed7_fixs0_20251113-022509,A2C,7,0.99,700,2,1,1,0.1,1.0,True,26.018912400763387,2.056752278703983,0.18937445729988753,0.0,-136.3939905716041,136.3939905716041,9.357189573477731,-24015.81566161128,-529.3308056,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/A2C_K3_rv1_rw1_p0.5_rho1.001_tau0.1_seed11_fixs0_20251113-025342,A2C,11,0.99,700,3,1,1,0.1,0.5,True,195.21518181732372,0.9515729805851301,0.11058779537377307,1.401868266681942e-17,-1764.2506875421518,1764.2506875421518,-53.06448947232931,-4097.1295872508945,-2316.70769835,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/A2C_K3_rv1_rw1_p0.5_rho1.001_tau0.1_seed7_fixs0_20251113-024143,A2C,7,0.99,700,3,1,1,0.1,0.5,True,7.538540728916201,0.20269419577563189,0.17136287618992377,2.803736533363884e-17,-42.99167950799996,42.99167950799996,-0.029699285936152283,-894.9655298544455,-20.657562950000003,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/A2C_K3_rv1_rw1_p1.0_rho1.004_tau0.1_seed11_fixs0_20251113-025852,A2C,11,0.99,700,3,1,1,0.1,1.0,True,289.51338452127055,40.35020933631051,0.16701780031819013,0.0,-1732.4283170399247,1732.4283170399247,209.06656026535362,-20206.30672208309,-118611.69013944999,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/A2C_K3_rv1_rw1_p1.0_rho1.004_tau0.1_seed7_fixs0_20251113-024652,A2C,7,0.99,700,3,1,1,0.1,1.0,True,1029.4766741480748,58.53087602067186,0.22779286799700896,2.803736533363884e-17,-4518.354285322016,4518.354285322016,322.98426723100215,-360912.91508674924,-53395.6467514,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/A2C_K3_rv1_rw1_p1.0_rho1.005_tau0.1_seed11_fixs0_20251113-030208,A2C,11,0.99,700,3,1,1,0.1,1.0,True,312.3557717392667,243.87606352486796,0.2371097499641995,2.803736533363884e-17,-1316.3468057995435,1316.3468057995435,231.00704201436588,-136725.58600688458,-440710.82658175007,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/A2C_K3_rv1_rw1_p1.0_rho1.005_tau0.1_seed7_fixs0_20251113-025004,A2C,7,0.99,700,3,1,1,0.1,1.0,True,1596.258718029542,92.8869817691064,0.29788491678286416,0.0,-5357.642308140415,5357.642308140415,897.5655215017167,-697579.0190551016,-726834.9367763,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K1_rv1_rw1_p0.5_rho1.001_tau0.1_seed11_fixs0_20251112-130004,DDPG,11,0.99,700,1,1,1,0.1,0.5,True,0.2444269379545513,0.014034992546835795,0.028039607522239864,3.504670666704855e-18,-7.717202541465027,7.717202541465027,-0.1669109226730194,-116.19647477641713,-35.445992700000005,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K1_rv1_rw1_p0.5_rho1.001_tau0.1_seed7_fixs0_20251111-202503,DDPG,7,0.99,700,1,1,1,0.1,0.5,True,0.25462028156165845,0.024309398170641622,0.05175476843768198,0.0,-3.9197453538652622,3.9197453538652622,-0.0777336944962963,-32.23706575802562,-35.34305025,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K1_rv1_rw1_p0.8_rho1.002_tau0.1_seed11_fixs0_20251112-134237,DDPG,11,0.99,700,1,1,1,0.1,0.8,True,0.271581206473849,0.035954389335696675,0.03595960798366424,0.0,-6.552396194008096,6.552396194008096,-0.05012667838182648,-412.3947948697102,-96.62894115,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K1_rv1_rw1_p0.8_rho1.002_tau0.1_seed7_fixs0_20251111-210806,DDPG,7,0.99,700,1,1,1,0.1,0.8,True,0.3753563958479891,0.04227362592572526,0.05967476659227994,1.401868266681942e-17,-5.290035425066057,5.290035425066057,-0.1493352468223198,-84.14048078698787,-93.51896515000001,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K1_rv1_rw1_p1.0_rho1.004_tau0.1_seed11_fixs0_20251112-142526,DDPG,11,0.99,700,1,1,1,0.1,1.0,True,3.854233628081609,0.1318570417577887,0.046849607212067206,7.00934133340971e-18,-81.26821647906712,81.26821647906712,-1.6127135289278454,-27230.956726867087,-126.73455135000002,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K1_rv1_rw1_p1.0_rho1.004_tau0.1_seed7_fixs0_20251111-215157,DDPG,7,0.99,700,1,1,1,0.1,1.0,True,539.5372439621209,1.4752556714138614,0.07056476142893942,0.0,-7644.986935071681,7644.986935071681,-60.80562065039027,-78020.64900594014,-1894.357271699991,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K1_rv1_rw1_p1.0_rho1.005_tau0.1_seed11_fixs0_20251112-150812,DDPG,11,0.99,700,1,1,1,0.1,1.0,True,2.908063234848994,0.7553783068759006,0.07021360854925006,0.0,-40.417373283260126,40.417373283260126,-1.2730697344821764,-18455.415946238794,-125.66557890000001,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K1_rv1_rw1_p1.0_rho1.005_tau0.1_seed7_fixs0_20251111-223456,DDPG,7,0.99,700,1,1,1,0.1,1.0,True,615.8180967284217,567.5182006219733,0.09392876564870781,1.401868266681942e-17,-6555.224735578579,6555.224735578579,149.50933697434874,-127312.11997124586,-4571.5042365,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K2_rv1_rw1_p0.5_rho1.001_tau0.1_seed11_fixs0_20251113-035705,DDPG,11,0.99,700,2,1,1,0.1,0.5,True,0.7095285723812859,0.038278391204054275,0.06657014407380167,1.401868266681942e-17,-9.65836017411471,9.65836017411471,-0.17610097189980517,-593.966919852629,-70.27071425,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K2_rv1_rw1_p0.5_rho1.001_tau0.1_seed7_fixs0_20251113-021835,DDPG,7,0.99,700,2,1,1,0.1,0.5,True,18.092009794176086,0.8759171628830661,0.1050264585360011,0.0,-171.261447699624,171.261447699624,-7.300311108874712,-421.1377203424147,-81.95225105,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K2_rv1_rw1_p1.0_rho1.004_tau0.1_seed11_fixs0_20251113-042910,DDPG,11,0.99,700,2,1,1,0.1,1.0,True,827.6393836643161,2.7077878023321,0.10419013797038168,0.0,-7942.548207025033,7942.548207025033,-299.52290713933604,-196687.04942167702,-3695.287662999994,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K2_rv1_rw1_p1.0_rho1.004_tau0.1_seed7_fixs0_20251113-024757,DDPG,7,0.99,700,2,1,1,0.1,1.0,True,2385.811776096513,19.510559009854,0.14264646747880508,0.0,-16724.34776545382,16724.34776545382,977.6446791482191,-118661.89616025351,-20713.854439299997,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K2_rv1_rw1_p1.0_rho1.005_tau0.1_seed11_fixs0_20251113-045602,DDPG,11,0.99,700,2,1,1,0.1,1.0,True,4148.301718520905,1738.430239427974,0.15091814771040737,2.803736533363884e-17,-27486.096690856317,27486.096690856317,2946.9303100928532,-845211.3109480899,-12746.3911816,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K2_rv1_rw1_p1.0_rho1.005_tau0.1_seed7_fixs0_20251113-031608,DDPG,7,0.99,700,2,1,1,0.1,1.0,True,327.6231536188493,15.643996647877264,0.18937446055962132,0.0,-1729.0281814701336,1729.0281814701336,-259.2606990732563,-6989.374682563117,-381.77098255,0,0
