run,algo,seed,n_links,p,tau,r_u,sigma_omega,gamma,mc_cost_mean,mc_cost_std,jstar_mean,jstar_std,eval_reward_mean,monitor_reward_smoothed
runs_2/TD3_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-034853,TD3,11,12,0.8,0.03,10.0,0.001,0.99,312679.8245750528,154851.9634722987,68.38485957791075,2.890758581290855e-14,-1274433.7478269401,-1223122.4446658
runs_2/TD3_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-141307,TD3,11,12,0.8,0.03,10.0,0.001,0.99,54667.646107588465,50876.119605781285,68.38485957791075,2.890758581290855e-14,-3984611.4649140295,-1993102.09218105
runs_2/TD3_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-024716,TD3,7,12,0.8,0.03,10.0,0.001,0.99,46333.59691077093,37269.32482660527,58.23315896429548,2.1680689359681415e-14,-18160516.383297455,-2863560.4195758
runs_2/TD3_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-091219,TD3,7,12,0.8,0.03,10.0,0.001,0.99,209706.212078312,141149.1164942634,58.23315896429548,2.1680689359681415e-14,-18740339.991651144,-1248505.5174469
runs_2/TD3_n19_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-060411,TD3,11,19,0.5,0.03,10.0,0.001,0.99,4347.403164336512,1676.7565126453917,97.99473956177339,1.4453792906454277e-14,-113779.66274576187,-154466.94219775
runs_2/TD3_n19_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250926-003730,TD3,11,19,0.5,0.03,10.0,0.001,0.99,4347.403164336512,1676.7565126453917,97.99473956177339,1.4453792906454277e-14,-117607.07051212311,-122612.69015595
runs_2/TD3_n19_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-045403,TD3,7,19,0.5,0.03,10.0,0.001,0.99,58560.67231575011,1670.0157381492963,82.46620770193287,1.4453792906454277e-14,-141743.12679687658,-137814.7489177
runs_2/TD3_n19_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-192446,TD3,7,19,0.5,0.03,10.0,0.001,0.99,72034.44559931333,1587.0233625380108,82.46620770193287,1.4453792906454277e-14,-149130.20038851738,-143236.6886111
runs_2/TD3_n19_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-082500,TD3,11,19,0.6,0.03,10.0,0.001,0.99,72797.84532339129,3023.3600226074705,97.99473956177339,1.4453792906454277e-14,-84322.1142673095,-97308.677147
runs_2/TD3_n19_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250926-103852,TD3,11,19,0.6,0.03,10.0,0.001,0.99,71423.79253614793,2838.9944071311047,97.99473956177339,1.4453792906454277e-14,-105987.65837186336,-109379.06257879999
runs_2/TD3_n19_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-071422,TD3,7,19,0.6,0.03,10.0,0.001,0.99,80814.38887790799,3742.127736302931,82.46620770193287,1.4453792906454277e-14,-137863.8035125979,-143833.26287735003
runs_2/TD3_n19_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250926-053739,TD3,7,19,0.6,0.03,10.0,0.001,0.99,72334.4042564837,2215.4690491989304,82.46620770193287,1.4453792906454277e-14,-116490.16263058981,-111410.4379637
runs_2/TD3_n19_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-104614,TD3,11,19,0.8,0.03,10.0,0.001,0.99,73262.35519411816,30956.689212014975,97.99473956177339,1.4453792906454277e-14,-4322398.391904141,-2487025.0542217502
runs_2/TD3_n19_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250926-203904,TD3,11,19,0.8,0.03,10.0,0.001,0.99,73262.35519411816,30956.689212014975,97.99473956177339,1.4453792906454277e-14,-1927819.3740573963,-2110184.3400120502
runs_2/TD3_n19_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-093548,TD3,7,19,0.8,0.03,10.0,0.001,0.99,410689.4910582957,208349.03111115482,82.46620770193287,1.4453792906454277e-14,-9255293.57892672,-1498301.01922845
runs_2/TD3_n19_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250926-153836,TD3,7,19,0.8,0.03,10.0,0.001,0.99,63612.78755149374,34094.126742381355,82.46620770193287,1.4453792906454277e-14,-17897608.15814723,-3652231.92115165
runs_2/TD3_n4_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250923-004542,TD3,11,4,0.5,0.03,10.0,0.001,0.99,91.19312981701158,0.0844384356407913,28.809490165284462,7.226896453227138e-15,-194.36799291788833,-3563.9860497999994
runs_2/TD3_n4_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250922-230638,TD3,7,4,0.5,0.03,10.0,0.001,0.99,62.41433710983498,0.1759721353434392,18.90118276937907,3.613448226613569e-15,-412.4181260001411,-3595.1838294
runs_2/TD3_n4_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250923-040315,TD3,11,4,0.6,0.03,10.0,0.001,0.99,14299.615085717664,1843.4346323503582,28.809490165284462,7.226896453227138e-15,-2846.5726586306096,-7743.16343535
runs_2/TD3_n4_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250923-022437,TD3,7,4,0.6,0.03,10.0,0.001,0.99,1819.2504161412073,253.67456568316865,18.90118276937907,3.613448226613569e-15,-1870.9086418996442,-3907.5515186999996
runs_2/TD3_n4_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250923-072118,TD3,11,4,0.8,0.03,10.0,0.001,0.99,527049.5997994111,638689.9521327624,28.809490165284462,7.226896453227138e-15,-601686.6336872567,-3012966.1366546503
runs_2/TD3_n4_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250923-054212,TD3,7,4,0.8,0.03,10.0,0.001,0.99,25817.313517859624,11583.360809885668,18.90118276937907,3.613448226613569e-15,-3155922.3082529726,-12417.472919
runs_2/TD3_n9_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250923-160230,TD3,11,9,0.5,0.03,10.0,0.001,0.99,33175.84145135635,1674.0181646515273,60.50879671905131,1.4453792906454277e-14,-14330.336571023265,-20510.89134245
runs_2/TD3_n9_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250923-113551,TD3,7,9,0.5,0.03,10.0,0.001,0.99,422.542595917795,0.9855423863849583,49.26487436788753,2.1680689359681415e-14,-27844.395607668557,-33763.27620695
runs_2/TD3_n9_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250924-011022,TD3,11,9,0.6,0.03,10.0,0.001,0.99,32278.17269720228,1764.1989316332972,60.50879671905131,1.4453792906454277e-14,-10804.035465137164,-27411.07913185
runs_2/TD3_n9_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250923-203702,TD3,7,9,0.6,0.03,10.0,0.001,0.99,26581.697013982513,1378.6451037804432,49.26487436788753,2.1680689359681415e-14,-57399.54520775994,-35444.7330469
runs_2/TD3_n9_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250924-100116,TD3,11,9,0.8,0.03,10.0,0.001,0.99,200985.8360471488,123334.34153401022,60.50879671905131,1.4453792906454277e-14,-435947.58866802376,-1449195.7586376
runs_2/TD3_n9_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250924-053437,TD3,7,9,0.8,0.03,10.0,0.001,0.99,124526.07805841858,114404.37199014066,49.26487436788753,2.1680689359681415e-14,-10883419.928936932,-347381.38588605
